,Closest City,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
2492,alugan,ph,12.22,125.48,78.56,100,76,5.73
18,dikson,ru,73.51,80.55,14.71,94,88,24.07
2114,playas,ec,-2.63,-80.38,81.04,86,24,7.07
1568,kariba,zw,-16.52,28.8,85.58,44,48,2.15
2132,tobolsk,ru,58.2,68.27,24.61,92,92,8.3
1205,kautokeino,no,69.01,23.04,16.19,82,64,6.06
607,anadyr,ru,64.75,177.48,30.2,100,75,13.42
618,tecoanapa,mx,16.52,-98.75,82.61,70,0,3.94
279,los llanos de aridane,es,28.66,-17.92,66.2,82,75,10.29
15,northam,au,-31.67,116.67,68,94,90,5.61
524,lagoa,pt,39.05,-27.98,64.12,100,56,20.83
2160,blackfoot,us,43.19,-112.34,44.6,80,75,34.45
2177,lufilufi,ws,-13.87,-171.6,81.53,100,20,11.21
9,ust-barguzin,ru,53.45,108.98,-8.61,100,48,1.59
305,bismarck,us,46.81,-100.78,48.2,39,1,6.93
110,coquimbo,cl,-29.95,-71.34,68,52,20,12.75
1296,gunnedah,au,-30.98,150.25,55.4,76,90,1.12
1252,jiaonan,cn,35.88,119.98,32,100,0,8.95
1525,sedkyrkeshch,ru,61.75,50.92,30.2,86,90,8.95
917,sembe,cg,1.65,14.58,78.56,74,24,3.38
208,ponta do sol,pt,32.67,-17.1,62.6,67,40,8.05
710,kyaikto,mm,17.3,97.02,74.06,88,0,2.59
2273,zhigansk,ru,66.77,123.37,-37.99,0,8,2.93
252,glendive,us,47.11,-104.71,42.8,35,1,12.75
1137,tocopilla,cl,-22.09,-70.2,67.72,68,0,5.95
500,christchurch,nz,-43.53,172.63,59,93,8,2.24
64,jamestown,sh,-15.94,-5.72,68.93,100,64,15.12
792,port macquarie,au,-31.43,152.92,66.2,93,90,6.93
1625,porto novo,cv,17.02,-25.06,78.8,65,75,23.04
1670,namatanai,pg,-3.67,152.43,77.39,100,92,11.32
1169,agdam,az,39.99,46.93,28.84,77,36,1.48
2083,kassala,sd,15.45,36.4,76.49,37,0,6.96
189,salalah,om,17.02,54.09,82.4,37,0,11.41
14,punta arenas,cl,-53.15,-70.92,66.2,25,0,25.28
1594,port-cartier,ca,50.03,-66.87,26.6,79,90,4.7
262,mana,gf,5.66,-53.78,90.08,54,12,4.16
1749,petropavlovsk-kamchatskiy,ru,53.05,158.65,10.4,66,12,4.47
79,excelsior springs,us,39.34,-94.23,62.6,58,1,9.42
1229,santa cruz del sur,cu,20.71,-78,81.71,72,12,15.01
721,kahului,us,20.89,-156.47,73.4,64,20,9.17
1161,isla mujeres,mx,21.23,-86.73,82.4,65,75,9.17
862,meaux,fr,48.95,2.87,39.2,93,75,4.7
2462,galesong,id,-5.32,119.37,78.8,94,20,2.59
1185,hailar,cn,49.2,119.7,-16.84,23,44,6.4
689,firminy,fr,45.39,4.29,30.2,86,0,4.05
1569,cabedelo,br,-6.98,-34.83,86,58,40,13.87
966,santiago del estero,ar,-27.8,-64.26,76.31,84,44,14.45
180,scarborough,gb,54.28,-0.4,41,93,36,4.7
585,broken hill,au,-31.95,141.43,52.06,74,36,11.32
906,lubben,de,51.95,13.9,32,97,75,9.17
109,pisco,pe,-13.7,-76.22,77,61,0,19.46
